Language,State/UT,District,User,
Bengali,Andhra Pradesh,Eluru,,
 Dogri,Andhra Pradesh,Nandyal,,
 Kashmiri,Andhra Pradesh,N T Rama Rao,,
 Kannada,Andhra Pradesh,Manyam,,
 Punjabi,Andhra Pradesh,Kurnool,,
 Malayalam,Andhra Pradesh,Krishna,,
 Manipuri,Andhra Pradesh,Konaseema,,
 Urdu,Andhra Pradesh,Kakinada,,
 Marathi,Andhra Pradesh,Kadapa,,
 Hindi,Andhra Pradesh,Guntur,,
 Assamese,Andaman Nicobar,Nicobar,,
 Nepali,Andhra Pradesh,Bapatla,,
 Tamil,Andhra Pradesh,Annamaya,,
 Sindhi,Andhra Pradesh,Anakapalli,,
 Bodo,Andhra Pradesh,Alluri Sitarama Raju,,
 Konkani,Andhra Pradesh,East Godavari,,
 Maithili,Andhra Pradesh,Chittoor,,
 Gujarati,Andhra Pradesh,Anantapur,,
 Odia,Andaman Nicobar,South Andaman,,
 Sanskrit,Andaman Nicobar,North Middle Andaman,,
 Telugu,Arunachal Pradesh,Central Siang,,
,Arunachal Pradesh,Lohit,,
,Arunachal Pradesh,Lepa Rada,,
,Arunachal Pradesh,Kurung Kumey,,
,Arunachal Pradesh,Kra Daadi,,
,Arunachal Pradesh,Kamle,,
,Arunachal Pradesh,East Siang,,
,Arunachal Pradesh,East Kameng,,
,Arunachal Pradesh,Dibang Valley,,
,Arunachal Pradesh,Changlang,,
,Andhra Pradesh,Nellore,,
,Arunachal Pradesh,Anjaw,,
,Andhra Pradesh,West Godavari,,
,Andhra Pradesh,Vizianagaram,,
,Andhra Pradesh,Visakhapatnam,,
,Andhra Pradesh,Srikakulam,,
,Andhra Pradesh,Sri Satya Sai,,
,Andhra Pradesh,Sri Balaji,,
,Andhra Pradesh,Prakasam,,
,Andhra Pradesh,Palnadu,,
,Arunachal Pradesh,Upper Siang,,
,Assam,Cachar,,
,Assam,Bongaigaon,,
,Assam,Biswanath,,
,Assam,Barpeta,,
,Assam,Baksa,,
,Assam,Bajali,,
,Arunachal Pradesh,West Siang,,
,Arunachal Pradesh,West Kameng,,
,Arunachal Pradesh,Upper Subansiri,,
,Arunachal Pradesh,Longding,,
,Arunachal Pradesh,Tirap,,
,Arunachal Pradesh,Tawang,,
,Arunachal Pradesh,Shi Yomi,,
,Arunachal Pradesh,Papum Pare,,
,Arunachal Pradesh,Pakke Kessang,,
,Arunachal Pradesh,Namsai,,
,Arunachal Pradesh,Lower Subansiri,,
,Arunachal Pradesh,Lower Siang,,
,Arunachal Pradesh,Lower Dibang Valley,,
,Assam,Hojai,,
,Assam,Morigaon,,
,Assam,Majuli,,
,Assam,Lakhimpur,,
,Assam,Kokrajhar,,
,Assam,Karimganj,,
,Assam,Karbi Anglong,,
,Assam,Kamrup Metropolitan,,
,Assam,Kamrup,,
,Assam,Jorhat,,
,Assam,Charaideo,,
,Assam,Hailakandi,,
,Assam,Golaghat,,
,Assam,Goalpara,,
,Assam,Dima Hasao,,
,Assam,Dibrugarh,,
,Assam,Dhubri,,
,Assam,Dhemaji,,
,Assam,Darrang,,
,Assam,Chirang,,
,Bihar,Arwal,,
,Bihar,Gaya,,
,Bihar,East Champaran,,
,Bihar,Darbhanga,,
,Bihar,Buxar,,
,Bihar,Bhojpur,,
,Bihar,Bhagalpur,,
,Bihar,Begusarai,,
,Bihar,Banka,,
,Bihar,Aurangabad,,
,Assam,Nagaon,,
,Bihar,Araria,,
,Assam,West Karbi Anglong,,
,Assam,Udalguri,,
,Assam,Tinsukia,,
,Assam,Tamulpur,,
,Assam,South Salmara-Mankachar,,
,Assam,Sonitpur,,
,Assam,Sivasagar,,
